# kf_id image_frame_id node_id raw_x raw_y raw_z direct_x direct_y direct_z gt_x gt_y gt_z raw_direct_error gt_direct_error gt_raw_error
33 540 476 -0.711443542 -2.131611936 -0.075262939 -1.286994847 -1.486195421 -0.000578113 -0.948152163 -1.624339541 0.000000000 0.867985948 0.365921435 0.564819231
34 552 488 -0.804345234 -2.011174900 -0.122909236 -1.329073769 -1.324293095 0.002788921 -1.018129614 -1.486443921 0.000000000 0.873468188 0.350694933 0.579787066
35 563 499 -0.883126338 -1.896126417 -0.166368332 -1.347877066 -1.164669478 0.003866320 -1.068053269 -1.349722355 0.000000000 0.883177406 0.335500929 0.600361383
36 573 509 -0.942952702 -1.785179020 -0.207032966 -1.345304728 -1.006250050 0.001932584 -1.101085197 -1.212936268 0.000000000 0.901268048 0.319947038 0.628752973
37 582 518 -0.999126955 -1.692146853 -0.244525189 -1.328604585 -0.887442710 0.001451243 -1.120146208 -1.106300009 0.000000000 0.903664025 0.302250754 0.646262139
38 592 528 -1.043332576 -1.610820764 -0.269129602 -1.299438284 -0.773290303 0.000488855 -1.130262224 -1.004808128 0.000000000 0.916374116 0.286742535 0.668759166
39 602 538 -1.075727996 -1.536149871 -0.291788952 -1.256266138 -0.667710522 0.000463538 -1.128613615 -0.902658454 0.000000000 0.933912438 0.267387195 0.699463406
40 611 547 -1.102349472 -1.455060844 -0.311965169 -1.206954278 -0.581552550 0.002090482 -1.117411088 -0.813466344 0.000000000 0.934125183 0.248608851 0.713577341
41 620 556 -1.116667709 -1.364459998 -0.336012078 -1.148517979 -0.492230117 0.003347073 -1.094136385 -0.721136898 0.000000000 0.936463581 0.235301668 0.726137996
42 629 565 -1.119397111 -1.259691957 -0.367095344 -1.079278825 -0.412470341 0.004862147 -1.059502987 -0.633765207 0.000000000 0.926145950 0.222229930 0.728100676
43 641 577 -1.110191013 -1.141772119 -0.396755561 -0.972883651 -0.311767612 0.005574828 -0.995445875 -0.520297488 0.000000000 0.932539830 0.209820976 0.746198458
44 652 588 -1.082977675 -1.014460662 -0.425314713 -0.863373944 -0.229880484 0.004860921 -0.920975953 -0.421042640 0.000000000 0.921326723 0.199711266 0.747851664
45 665 601 -1.032602671 -0.890336688 -0.451892628 -0.726436455 -0.147392068 0.008233811 -0.818227537 -0.315373122 0.000000000 0.925970194 0.191601234 0.762067417
46 676 612 -0.962489510 -0.763447229 -0.484483339 -0.598573827 -0.090876648 0.010798473 -0.713354585 -0.231384745 0.000000000 0.911092687 0.181751905 0.761500363
47 689 625 -0.878551183 -0.635925584 -0.514617480 -0.429515355 -0.038740867 0.013679318 -0.572530183 -0.144946472 0.000000000 0.915073913 0.178661678 0.774300001
48 700 636 -0.790526713 -0.529071774 -0.537184230 -0.276048226 -0.013234643 0.015444584 -0.443845354 -0.086393234 0.000000000 0.914425867 0.183702451 0.777636902
49 711 647 -0.691366872 -0.438849062 -0.558051608 -0.132660216 -0.006600910 0.016516136 -0.318691964 -0.045143670 0.000000000 0.910560094 0.190699078 0.778018072
50 726 662 -0.569340555 -0.348711775 -0.595280691 -0.014909412 0.017502040 0.033017280 -0.192703268 -0.017552347 0.000000000 0.914475145 0.184199909 0.778383782
51 750 686 -0.473901214 -0.297350317 -0.624934201 0.091464584 -0.005361966 0.036311413 -0.091608630 0.000787811 0.000000000 0.917682649 0.186740837 0.790934080
52 774 710 -0.377027632 -0.249295988 -0.655434890 0.198187744 -0.037606841 0.033648989 0.006030882 0.008675148 0.000000000 0.922237289 0.200495727 0.801796625
53 797 733 -0.291235489 -0.196621575 -0.673402917 0.293898428 -0.085272103 0.039344502 0.098941985 0.005828000 0.000000000 0.928864516 0.218758390 0.804173974
54 823 759 -0.207510321 -0.131330684 -0.670084324 0.385450633 -0.137332267 0.040206938 0.187667421 -0.005983164 0.000000000 0.925285031 0.240805697 0.787966021
