# kf_a kf_b node_a node_b source rel_diff_t rel_diff_r_deg raw_vs_direct_t gt_vs_direct_t gt_vs_raw_t direct_x direct_y direct_z
43 44 577 588 rgbd_pnp_world_converted 0.032913118 0.578134236 0.921326723 0.199711266 0.747851664 -0.863373944 -0.229880484 0.004860921
44 45 588 601 rgbd_pnp_world_converted 0.035085310 1.328021787 0.925970194 0.191601234 0.762067417 -0.726436455 -0.147392068 0.008233811
45 46 601 612 rgbd_pnp_world_converted 0.026678434 0.768760090 0.911092687 0.181751905 0.761500363 -0.598573827 -0.090876648 0.010798473
46 47 612 625 rgbd_pnp_world_converted 0.040206090 1.464798555 0.915073913 0.178661678 0.774300001 -0.429515355 -0.038740867 0.013679318
47 48 625 636 rgbd_pnp_world_converted 0.034358089 0.931498763 0.914425867 0.183702451 0.777636902 -0.276048226 -0.013234643 0.015444584
48 49 636 647 rgbd_pnp_world_converted 0.025629624 0.962398124 0.910560094 0.190699078 0.778018072 -0.132660216 -0.006600910 0.016516136
49 50 647 662 rgbd_pnp_world_converted 0.051171523 1.785741524 0.914475145 0.184199909 0.778383782 -0.014909412 0.017502040 0.033017280
50 51 662 686 rgbd_pnp_world_converted 0.029748927 2.102720658 0.917682649 0.186740837 0.790934080 0.091464584 -0.005361966 0.036311413
51 52 686 710 rgbd_pnp_world_converted 0.029790393 2.089140027 0.922237289 0.200495727 0.801796625 0.198187744 -0.037606841 0.033648989
52 53 710 733 rgbd_pnp_world_converted 0.047681850 1.814058280 0.928864516 0.218758390 0.804173974 0.293898428 -0.085272103 0.039344502
53 54 733 759 rgbd_pnp_world_converted 0.059019741 1.305473338 0.925285031 0.240805697 0.787966021 0.385450633 -0.137332267 0.040206938
